SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
945	1.77516e-05	3.64634e-06	0.20541
946	1.76949e-05	3.62123e-06	0.204648
947	1.76445e-05	3.59445e-06	0.203715
948	1.76003e-05	3.56741e-06	0.20269
949	1.75626e-05	3.54309e-06	0.201741
950	1.75308e-05	3.52584e-06	0.201122
951	1.75042e-05	3.52032e-06	0.201114
952	1.74814e-05	3.53019e-06	0.201939
953	1.74615e-05	3.55661e-06	0.203683
954	1.74425e-05	3.59724e-06	0.206235
955	1.74217e-05	3.64638e-06	0.209301
956	1.73976e-05	3.69677e-06	0.212488
957	1.73681e-05	3.7414e-06	0.215418
958	1.7332e-05	3.77582e-06	0.217852
959	1.72886e-05	3.7996e-06	0.219775
960	1.7238e-05	3.81693e-06	0.221426
961	1.71814e-05	3.83558e-06	0.223241
962	1.71216e-05	3.86481e-06	0.225727
963	1.70622e-05	3.91198e-06	0.229278
964	1.70082e-05	3.97987e-06	0.233997
965	1.69648e-05	4.06502e-06	0.239615
966	1.69381e-05	4.1588e-06	0.245529
967	1.69324e-05	4.24975e-06	0.250983
968	1.69515e-05	4.32762e-06	0.255294
969	1.69975e-05	4.38651e-06	0.258068
970	1.70702e-05	4.42675e-06	0.259325
971	1.71674e-05	4.45492e-06	0.259499
972	1.72847e-05	4.48176e-06	0.259291
973	1.7417e-05	4.51819e-06	0.259413
974	1.75586e-05	4.5703e-06	0.260289
975	1.77043e-05	4.63562e-06	0.261835
976	1.78503e-05	4.70233e-06	0.263432
977	1.79944e-05	4.75244e-06	0.264107
978	1.81367e-05	4.76803e-06	0.262894
979	1.8281e-05	4.73907e-06	0.259235
980	1.84343e-05	4.66944e-06	0.253301
981	1.86086e-05	4.5784e-06	0.246038
982	1.88208e-05	4.4937e-06	0.238762
983	1.90937e-05	4.4374e-06	0.232401
984	1.94543e-05	4.41435e-06	0.226909
985	1.99326e-05	4.41775e-06	0.221635
986	2.05605e-05	4.45449e-06	0.216653
987	2.13727e-05	4.57196e-06	0.213916
988	2.24096e-05	4.85374e-06	0.216591
989	2.37235e-05	5.36478e-06	0.226138
990	2.53856e-05	6.08592e-06	0.239739
991	2.74926e-05	6.90812e-06	0.251272
992	3.01679e-05	7.69098e-06	0.254939
993	3.35582e-05	8.34555e-06	0.248689
994	3.7832e-05	8.9121e-06	0.23557
995	4.32122e-05	9.57863e-06	0.221665
996	5.01281e-05	1.05879e-05	0.211217
997	5.96625e-05	1.21338e-05	0.203373
998	7.46042e-05	1.43725e-05	0.192649
999	0.000101877	1.80269e-05	0.176947
1000	0.000160884	2.82054e-05	0.175315

number of sites in simulation: 200000000
compact interval: 30
average number of mutations in simulation: 313883
average number of mutations in SFS: 55859.8
time elapsed (ms): 98.966
