SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
263	0.000273757	3.05182e-06	0.0111479
264	0.00027232	3.01178e-06	0.0110597
265	0.000270897	2.97427e-06	0.0109793
266	0.000269482	2.94e-06	0.0109098
267	0.000268074	2.90947e-06	0.0108532
268	0.000266668	2.88299e-06	0.0108111
269	0.000265278	2.86091e-06	0.0107846
270	0.000263899	2.84315e-06	0.0107736
271	0.000262528	2.82938e-06	0.0107775
272	0.000261162	2.81912e-06	0.0107945
273	0.000259797	2.81177e-06	0.010823
274	0.000258447	2.80672e-06	0.01086
275	0.000257107	2.8032e-06	0.0109029
276	0.000255743	2.80002e-06	0.0109486
277	0.000254415	2.79707e-06	0.0109941
278	0.000253089	2.79329e-06	0.0110368
279	0.000251776	2.78822e-06	0.0110742
280	0.000250475	2.78141e-06	0.0111045
281	0.000249166	2.7723e-06	0.0111263
282	0.000247862	2.76092e-06	0.0111389
283	0.000246577	2.7474e-06	0.0111422
284	0.000245291	2.73167e-06	0.0111364
285	0.000244018	2.71424e-06	0.0111231
286	0.000242741	2.69528e-06	0.0111035
287	0.000241471	2.67547e-06	0.0110799
288	0.000240222	2.65555e-06	0.0110546
289	0.000238975	2.63594e-06	0.0110302
290	0.00023773	2.61728e-06	0.0110095
291	0.000236498	2.60035e-06	0.0109952
292	0.000235264	2.58549e-06	0.0109898
293	0.000234039	2.57334e-06	0.0109954
294	0.000232821	2.56425e-06	0.0110138
295	0.000231623	2.5586e-06	0.0110464
296	0.000230428	2.5563e-06	0.0110937
297	0.000229236	2.5573e-06	0.0111558
298	0.000228057	2.56153e-06	0.011232
299	0.00022689	2.56867e-06	0.0113212
300	0.000225733	2.57831e-06	0.011422
301	0.000224584	2.58983e-06	0.0115317
302	0.000223441	2.60272e-06	0.0116484
303	0.000222316	2.61646e-06	0.0117691
304	0.000221193	2.63026e-06	0.0118912
305	0.000220084	2.64357e-06	0.0120116
306	0.000218988	2.65581e-06	0.0121277
307	0.000217901	2.66637e-06	0.0122366
308	0.000216821	2.6747e-06	0.012336
309	0.000215748	2.68032e-06	0.0124234
310	0.000214692	2.683e-06	0.012497
311	0.000213637	2.68226e-06	0.0125552
312	0.000212582	2.67786e-06	0.0125968
313	0.00021155	2.66996e-06	0.0126209
314	0.000210527	2.65836e-06	0.0126271
315	0.000209511	2.64307e-06	0.0126154
316	0.000208499	2.62421e-06	0.0125862
317	0.000207489	2.602e-06	0.0125404
318	0.000206492	2.57683e-06	0.012479
319	0.000205494	2.54891e-06	0.0124038
320	0.000204505	2.51881e-06	0.0123166
321	0.000203523	2.487e-06	0.0122197
322	0.000202547	2.45394e-06	0.0121154
323	0.000201574	2.42014e-06	0.0120062
324	0.000200578	2.38586e-06	0.0118949
325	0.000199608	2.3522e-06	0.0117841
326	0.000198648	2.31943e-06	0.0116761
327	0.000197685	2.28797e-06	0.0115738
328	0.00019673	2.25829e-06	0.0114791
329	0.000195782	2.2307e-06	0.0113938
330	0.000194838	2.20549e-06	0.0113196
331	0.000193898	2.18286e-06	0.0112578
332	0.00019296	2.16293e-06	0.0112092
333	0.000192023	2.14571e-06	0.0111742
334	0.000191097	2.13133e-06	0.0111531
335	0.00019017	2.11962e-06	0.0111459
336	0.000189241	2.1104e-06	0.0111519
337	0.000188319	2.10371e-06	0.0111709
338	0.000187405	2.09937e-06	0.0112023
339	0.000186496	2.09715e-06	0.011245
340	0.000185591	2.09692e-06	0.0112986
341	0.00018469	2.09853e-06	0.0113624
342	0.000183792	2.10171e-06	0.0114353
343	0.000182906	2.10648e-06	0.0115167
344	0.000182021	2.11252e-06	0.0116059
345	0.000181146	2.1198e-06	0.0117022
346	0.00018027	2.12799e-06	0.0118045
347	0.000179402	2.13701e-06	0.0119119
348	0.000178552	2.14686e-06	0.0120237
349	0.000177697	2.15696e-06	0.0121384
350	0.000176848	2.16725e-06	0.0122549
351	0.000176003	2.17746e-06	0.0123717
352	0.000175161	2.18734e-06	0.0124876
353	0.000174321	2.19656e-06	0.0126007
354	0.000173493	2.20504e-06	0.0127097
355	0.000172665	2.21231e-06	0.0128127
356	0.000171847	2.21822e-06	0.0129081
357	0.000171027	2.22246e-06	0.0129948
358	0.000170214	2.22484e-06	0.0130708
359	0.000169409	2.22521e-06	0.0131352
360	0.000168588	2.22316e-06	0.013187
361	0.000167792	2.21906e-06	0.0132251
362	0.000166999	2.21257e-06	0.013249
363	0.00016621	2.20369e-06	0.0132585
364	0.000165422	2.19241e-06	0.0132534
365	0.000164644	2.1789e-06	0.013234
366	0.000163867	2.16316e-06	0.0132008
367	0.000163098	2.14546e-06	0.0131544
368	0.000162327	2.1258e-06	0.0130958
369	0.000161563	2.10455e-06	0.0130262
370	0.000160805	2.0819e-06	0.0129468
371	0.000160052	2.05812e-06	0.0128591
372	0.000159303	2.03347e-06	0.0127648
373	0.000158558	2.00821e-06	0.0126655
374	0.000157814	1.9826e-06	0.0125629
375	0.000157073	1.95691e-06	0.0124586
376	0.000156333	1.9314e-06	0.0123544
377	0.000155592	1.90635e-06	0.0122522
378	0.000154861	1.8821e-06	0.0121535
379	0.000154128	1.85876e-06	0.0120599
380	0.000153402	1.83665e-06	0.0119728
381	0.000152674	1.81587e-06	0.0118938
382	0.000151951	1.79672e-06	0.0118243
383	0.000151224	1.7792e-06	0.0117653
384	0.000150484	1.76337e-06	0.011718
385	0.000149765	1.74978e-06	0.0116835
386	0.00014905	1.73831e-06	0.0116626
387	0.000148337	1.72903e-06	0.011656
388	0.000147627	1.722e-06	0.0116646
389	0.000146918	1.71724e-06	0.0116884
390	0.00014621	1.71472e-06	0.0117278
391	0.000145511	1.71459e-06	0.0117832
392	0.000144812	1.71666e-06	0.0118544
393	0.000144112	1.72086e-06	0.0119411
394	0.00014342	1.7272e-06	0.0120429
395	0.000142727	1.7355e-06	0.0121596
396	0.00014205	1.74582e-06	0.0122902
397	0.000141362	1.75768e-06	0.0124339
398	0.000140679	1.7711e-06	0.0125896
399	0.000140003	1.78594e-06	0.0127565
400	0.000139332	1.80203e-06	0.0129334
401	0.000138666	1.81911e-06	0.0131187
402	0.000137996	1.83693e-06	0.0133115
403	0.00013733	1.85537e-06	0.0135103
404	0.000136668	1.87422e-06	0.0137136
405	0.000136011	1.89332e-06	0.0139204
406	0.000135364	1.91254e-06	0.0141289
407	0.000134721	1.93163e-06	0.014338
408	0.000134089	1.95049e-06	0.0145463
409	0.00013345	1.96871e-06	0.0147524
410	0.000132822	1.98636e-06	0.0149551
411	0.000132195	2.00316e-06	0.0151531
412	0.000131569	2.01893e-06	0.015345
413	0.000130952	2.03365e-06	0.0155297
414	0.000130343	2.0472e-06	0.0157062
415	0.000129735	2.05928e-06	0.015873
416	0.000129133	2.06989e-06	0.0160291
417	0.000128531	2.07879e-06	0.0161735
418	0.000127935	2.08599e-06	0.0163051
419	0.000127345	2.09139e-06	0.016423
420	0.00012676	2.09491e-06	0.0165266
421	0.000126181	2.09647e-06	0.0166148
422	0.000125598	2.09592e-06	0.0166875
423	0.000125019	2.09334e-06	0.0167442
424	0.000124444	2.08874e-06	0.0167846
425	0.000123872	2.0821e-06	0.0168085
426	0.00012331	2.07361e-06	0.0168162
427	0.000122751	2.06318e-06	0.0168079
428	0.000122193	2.0509e-06	0.0167841
429	0.000121637	2.03686e-06	0.0167454
430	0.000121082	2.02118e-06	0.0166927
431	0.000120535	2.00411e-06	0.0166268
432	0.000119989	1.98568e-06	0.0165489
433	0.000119442	1.96605e-06	0.0164602
434	0.000118904	1.94554e-06	0.0163624
435	0.000118364	1.92419e-06	0.0162565
436	0.000117825	1.90221e-06	0.0161444
437	0.000117292	1.87992e-06	0.0160278
438	0.000116758	1.8574e-06	0.0159082
439	0.00011623	1.83497e-06	0.0157875
440	0.000115708	1.81286e-06	0.0156676
441	0.000115184	1.79112e-06	0.01555
442	0.000114667	1.77006e-06	0.0154366
